ticker,sr_level,current_price
AAPL,212.64827050103082,213.75999450683594
AMGN,293.1738218419692,308.54998779296875
AXP,304.0249527640964,308.25
BA,211.8430768526517,231.27000427246094
CAT,389.38913678108383,429.5199890136719
CRM,259.4272951693149,267.70001220703125
CSCO,64.76727986653646,68.29000091552734
CVX,155.60441934494747,155.8300018310547
DIS,113.4770402538684,121.94999694824219
DOW,,25.06999969482422
GS,665.7321322571997,719.1799926757812
HD,408.0925056115905,373.0899963378906
HON,227.25149234135944,224.47999572753906
IBM,252.65656776428224,260.510009765625
INTC,23.35654199903256,22.6299991607666
JNJ,162.4932147527145,169.55999755859375
JPM,271.59302635192876,296.54998779296875
KO,62.301679953550675,69.0999984741211
MCD,296.026286635288,294.4800109863281
MMM,148.93266610118826,149.3000030517578
MRK,80.61434992154437,84.11000061035156
MSFT,492.9521206942471,510.8800048828125
NKE,79.89663463685571,75.41999816894531
PG,170.97682369456572,158.80999755859375
TRV,261.44404740767044,261.989990234375
UNH,,278.5799865722656
V,350.3945700155721,353.9700012207031
VZ,41.1669216391481,43.08000183105469
WBA,11.26096233489021,11.59000015258789
WMT,95.02945819653964,96.5999984741211
